week_number,year,question_order,is_hard,location_name,option_a,option_b,option_c,option_d,option_e,correct_option,explanation_text,location_lat,location_lng,location_zoom,wikipedia_urls,satellite_image,site_photo,status,location_name_fr,explanation_text_fr,option_a_fr,option_b_fr,option_c_fr,option_d_fr,option_e_fr,,
13,2026,1,false,Sharq El Owainat Irrigation Circles,Meteor craters,Desert irrigation circles,Drying salt lakes,Military bombing range,High-altitude oil tanks,b,Perfect green circles in the middle of the Sahara — each one is a crop field watered by a rotating sprinkler arm up to 400 m long. The water comes from a prehistoric aquifer buried thousands of metres underground.,22.2633,28.7374,12,https://en.wikipedia.org/wiki/Sharq_El_Owainat,EGY_cercle-irrigation_22_26333_28_73738.jpeg,,,Cercles d'irrigation de Sharq El Owainat,Des cercles verts parfaits au milieu du Sahara — chacun est un champ irrigué par un bras arroseur rotatif pouvant atteindre 400 m. L'eau provient d'un aquifère préhistorique enfoui à des milliers de mètres de profondeur.,Cratères de météorites,Cercles d'irrigation désertiques,Lacs salés en voie d'assèchement,Zone de bombardement militaire,Cuves de pétrole en altitude,,
13,2026,2,true,Inle Lake Floating Gardens,Solar panels,Lake floating gardens,Seaweed farms,Rice paddies,Coastal fish nets,b,"The long rectangular strips floating on the lake are not fish farms — they are gardens. Intha farmers in Myanmar have built these living islands from lake weeds and mud for over 1000 years, anchoring them with bamboo poles.",20.5357,96.9267,13,https://en.wikipedia.org/wiki/Inle_Lake,BIR_riziere-flottante_20_5356605_96_9266872.jpeg,,,Jardins flottants du lac Inle,Les longues bandes rectangulaires flottant sur le lac ne sont pas des piscicultures — ce sont des jardins. Les agriculteurs Intha en Birmanie construisent ces îles vivantes depuis plus de 1000 ans à partir d'herbes lacustres et de vase.,Panneaux solaires,Jardins flottants lacustres,Cultures d'algues,Rizières inondées,Filets de pêche côtiers,,
13,2026,3,false,Santa Cruz Radial Farms,Radial farming plots,Drought-cracked earth,Ceremonial site,River erosion,Abandoned military runway,a,"The star-shaped patterns radiating from a central point are farming plots — each triangle belongs to one family, all sharing equal access to the village road and market at the centre. Created by Mennonite communities in Bolivia in the 1970s.",-16.4773,-63.0426,12,https://en.wikipedia.org/wiki/Santa_Cruz_department_(Bolivia),BOL_fermes-radiale_-16_47733_-63_04263.jpeg,,,Fermes radiales de Santa Cruz,"Les motifs en étoile rayonnant depuis un point central sont des parcelles agricoles — chaque triangle appartient à une famille, toutes avec un accès égal à la route et au marché central. Créés par des communautés mennonites en Bolivie dans les années 1970.",Fermes à disposition radiale,Terre craquelée par la sécheresse,Site cérémoniel,Érosion fluviale,Piste militaire abandonnée,,
14,2026,1,false,Mirny Diamond Mine,Crater lake,Water reservoir,Giant open-pit mine,Amphitheatre,Neighbourhood sinkhole,c,"The turquoise water at the bottom of an enormous hole is the clue — this is the Mirny diamond mine in Siberia, 1200 m wide and 525 m deep. The spiral road carved into the walls took trucks 2 hours to drive from bottom to surface.",62.5286,113.9912,14,https://en.wikipedia.org/wiki/Mir_mine,RUS_Mine-diamant_62_528625_113_991197.jpeg,,,Mine de diamants de Mirny,"L'eau turquoise au fond d'un énorme trou est l'indice — c'est la mine de diamants de Mirny en Sibérie, 1200 m de large et 525 m de profondeur. La route en spirale creusée dans les parois prenait 2 heures aux camions pour remonter.",Lac de cratère,Réservoir d'eau,Gigantesque mine à ciel ouvert,Amphithéâtre,Effondrement de terrain urbain,,
14,2026,2,true,Chittagong Ship Breaking Yard,Grounded ships,Naval base,Ferry terminal,Ship breaking yard,Offshore oil platform,d,"The ships are not wrecked — they are deliberately driven onto the beach at full speed. At low tide, workers dismantle them piece by piece. Chittagong in Bangladesh recycles around 20% of the world's retired shipping tonnage.",22.4407,91.7279,14,https://en.wikipedia.org/wiki/Chittagong_Ship_Breaking_Yard,BGD_demolition_22_4406753_91_7279067.jpeg,,,Chantier de démolition navale de Chittagong,"Les navires ne sont pas naufragés — ils sont délibérément échoués à pleine vitesse. À marée basse, des ouvriers les démantèlent pièce par pièce. Chittagong au Bangladesh recycle environ 20 % du tonnage mondial de navires en fin de vie.",Navires échoués,Base navale,Terminal de ferrys,Chantier naval de démolition,Plateforme pétrolière offshore,,
14,2026,3,false,Singapore F1 Street Circuit,Road interchange,F1 street circuit,Theme park,Event space,Bus & tram depot,b,"The winding track hugging the waterfront is a Formula 1 street circuit built from public roads. Temporary barriers, grandstands and 1500 lighting rigs are assembled and dismantled every year for the world's only F1 night race.",1.2914,103.8639,15,https://en.wikipedia.org/wiki/Singapore_Grand_Prix,SIN_circuit-F1_1_291374_103_863918.jpeg,,,Circuit de F1 urbain de Singapour,"La piste sinueuse longeant le front de mer est un circuit de F1 construit sur des routes publiques. Barrières temporaires, tribunes et 1500 projecteurs sont montés et démontés chaque année pour la seule course de F1 nocturne au monde.",Échangeur routier,Circuit F1 urbain,Parc d'attractions,Espace événementiel,Dépôt de bus et tramways,,
15,2026,1,false,Davis-Monthan Air Force Boneyard (AMARG),Military airbase,Retired aircraft boneyard,Aircraft factory,Air show,Busy international airport,b,"Over 4000 aircraft parked in rows in the Arizona desert — the dry air perfectly preserves the aluminium airframes. Look closely and you can identify B-52 bombers, F-14 fighters and C-5 transports grouped by type.",32.1507,-110.8362,14,https://en.wikipedia.org/wiki/309th_Aerospace_Maintenance_and_Regeneration_Group,USA_depot-avion_32_150684_-110_836201.jpeg,,,Cimetière d'avions de Davis-Monthan (AMARG),"Plus de 4000 avions garés en rangées dans le désert de l'Arizona — l'air sec conserve parfaitement les cellules en aluminium. On peut distinguer des bombardiers B-52, des chasseurs F-14 et des transports C-5 regroupés par type.",Base militaire,Cimetière d'avions militaires,Usine aéronautique,Salon aérien,Aéroport international très fréquenté,,
15,2026,2,true,Naval Weapons Station Yorktown Ammunition Depot,Naval ammunition bunkers,Water treatment,Prison yard,Greenhouses,Botanical garden sections,a,The grass-covered rectangular mounds look like a botanical garden or farm — but each mound is a concrete ammunition bunker buried underground. The small white doors at each end are the only clue visible from above.,36.9268,-76.2760,16,https://en.wikipedia.org/wiki/Naval_Weapons_Station_Yorktown,USA_depot-munition_36_926849_-76_276049.jpeg,,,Dépôt de munitions de la Naval Weapons Station Yorktown,Les monticules rectangulaires couverts d'herbe ressemblent à un jardin ou une ferme — mais chacun est un bunker de munitions en béton enterré. Les petites portes blanches visibles à chaque extrémité sont le seul indice vu du ciel.,Bunkers de munitions navales,Station d'épuration,Cour de prison,Serres,Sections de jardin botanique,,
15,2026,3,false,Atacama Lithium Evaporation Pools,Fish farming,Lithium evaporation pools,Salt pans,Nuclear cooling ponds,Desert holiday resort pools,b,"The vivid turquoise and green rectangles are not swimming pools — they are lithium evaporation pools. The colour reveals the stage: turquoise is fresh brine, dark green means lithium is concentrating, white means it has crystallised.",-23.5440,-68.3738,13,https://en.wikipedia.org/wiki/Atacama_lithium_evaporation_pools,CHL_bassin-lithium_-23_54398_-68_37383.jpeg,,,Bassins d'évaporation de lithium de l'Atacama,"Les rectangles turquoise et verts vifs ne sont pas des piscines — ce sont des bassins d'évaporation de lithium. La couleur indique le stade : turquoise pour la saumure fraîche, vert foncé quand le lithium se concentre, blanc quand il cristallise.",Pisciculture,Bassins d'évaporation de lithium,Marais salants,Bassins de refroidissement nucléaire,Piscines d'un complexe hôtelier désertique,,
16,2026,1,true,Wadi-us-Salaam Cemetery,Refugee camp,World's largest cemetery,Urban slum,Ghost town,Roman ruins settlement,b,"From above it looks like a city — but there are no streets, only narrow paths between crypts and mausoleums. Wadi-us-Salaam in Najaf, Iraq is the world's largest cemetery, with over 6 million burials across 6 km².",32.0347,44.2974,15,https://en.wikipedia.org/wiki/Wadi-us-Salaam,IRK_cimetiere_32_0346553_44_2973776.jpeg,,,Cimetière de Wadi-us-Salaam,"Vu du ciel, cela ressemble à une ville — mais il n'y a pas de rues, seulement des allées étroites entre cryptes et mausolées. Wadi-us-Salaam à Najaf en Irak est le plus grand cimetière du monde, avec plus de 6 millions de sépultures sur 6 km².",Camp de réfugiés,Plus grand cimetière du monde,Bidonville,Ville fantôme,Ruines romaines,,
